from,to,value,value.1,type,p.value,fdr.p.value
82,145,0.948717948717949,0.948717948717949,CID,NA,NA
140,145,0.948717948717949,0.948717948717949,CID,NA,NA
141,145,0.948717948717949,0.948717948717949,CID,NA,NA
99,146,0.847826086956522,0.847826086956522,CID,NA,NA
52,148,0.862745098039216,0.862745098039216,CID,NA,NA
78,148,0.862745098039216,0.862745098039216,CID,NA,NA
79,148,0.882352941176471,0.882352941176471,CID,NA,NA
94,148,0.882352941176471,0.882352941176471,CID,NA,NA
50,149,0.948717948717949,0.948717948717949,CID,NA,NA
53,149,1,1,CID,NA,NA
68,149,1,1,CID,NA,NA
82,149,0.948717948717949,0.948717948717949,CID,NA,NA
140,149,0.948717948717949,0.948717948717949,CID,NA,NA
141,149,0.948717948717949,0.948717948717949,CID,NA,NA
145,149,1,1,CID,NA,NA
2,150,1,1,CID,NA,NA
22,150,0.9,0.9,CID,NA,NA
29,150,0.909090909090909,0.909090909090909,CID,NA,NA
37,150,1,1,CID,NA,NA
127,150,0.9,0.9,CID,NA,NA
15,151,0.8,0.8,CID,NA,NA
26,151,0.8,0.8,CID,NA,NA
30,151,0.8,0.8,CID,NA,NA
36,151,0.904761904761905,0.904761904761905,CID,NA,NA
38,151,0.909090909090909,0.909090909090909,CID,NA,NA
72,151,0.8,0.8,CID,NA,NA
73,151,0.8,0.8,CID,NA,NA
107,151,0.833333333333333,0.833333333333333,CID,NA,NA
113,151,0.8,0.8,CID,NA,NA
118,151,0.930232558139535,0.930232558139535,CID,NA,NA
139,151,0.833333333333333,0.833333333333333,CID,NA,NA
32,152,0.853658536585366,0.853658536585366,CID,NA,NA
5,156,0.829268292682927,0.829268292682927,CID,NA,NA
32,156,0.825,0.825,CID,NA,NA
59,156,0.829268292682927,0.829268292682927,CID,NA,NA
143,156,0.805555555555556,0.805555555555556,CID,NA,NA
152,156,0.82051282051282,0.82051282051282,CID,NA,NA
109,157,0.823529411764706,0.823529411764706,CID,NA,NA
3,159,0.806451612903226,0.806451612903226,CID,NA,NA
16,163,1,1,CID,NA,NA
43,163,0.870967741935484,0.870967741935484,CID,NA,NA
27,165,0.806451612903226,0.806451612903226,CID,NA,NA
62,169,0.836363636363636,0.836363636363636,CID,NA,NA
63,169,0.816326530612245,0.816326530612245,CID,NA,NA
86,171,0.8,0.8,CID,NA,NA
34,173,0.807017543859649,0.807017543859649,CID,NA,NA
114,173,0.905660377358491,0.905660377358491,CID,NA,NA
115,173,0.821428571428571,0.821428571428571,CID,NA,NA
116,173,0.857142857142857,0.857142857142857,CID,NA,NA
117,173,0.8,0.8,CID,NA,NA
119,173,0.821428571428571,0.821428571428571,CID,NA,NA
122,173,0.833333333333333,0.833333333333333,CID,NA,NA
125,173,0.814814814814815,0.814814814814815,CID,NA,NA
1,175,0.8,0.8,CID,NA,NA
24,175,0.9,0.9,CID,NA,NA
34,175,0.96078431372549,0.96078431372549,CID,NA,NA
102,175,0.942307692307692,0.942307692307692,CID,NA,NA
112,175,0.816666666666667,0.816666666666667,CID,NA,NA
114,175,0.884615384615385,0.884615384615385,CID,NA,NA
115,175,0.98,0.98,CID,NA,NA
116,175,0.836363636363636,0.836363636363636,CID,NA,NA
119,175,0.98,0.98,CID,NA,NA
122,175,0.811320754716981,0.811320754716981,CID,NA,NA
125,175,0.9,0.9,CID,NA,NA
173,175,0.807017543859649,0.807017543859649,CID,NA,NA
58,176,0.80952380952381,0.80952380952381,CID,NA,NA
79,176,0.80952380952381,0.80952380952381,CID,NA,NA
94,176,0.80952380952381,0.80952380952381,CID,NA,NA
84,178,0.810810810810811,0.810810810810811,CID,NA,NA
34,179,0.803921568627451,0.803921568627451,CID,NA,NA
86,179,0.8,0.8,CID,NA,NA
88,179,0.84,0.84,CID,NA,NA
115,179,0.82,0.82,CID,NA,NA
119,179,0.82,0.82,CID,NA,NA
175,179,0.803921568627451,0.803921568627451,CID,NA,NA
178,179,0.837209302325581,0.837209302325581,CID,NA,NA
86,180,0.8,0.8,CID,NA,NA
171,180,1,1,CID,NA,NA
74,182,0.9,0.9,CID,NA,NA
86,182,0.948717948717949,0.948717948717949,CID,NA,NA
171,182,0.842105263157895,0.842105263157895,CID,NA,NA
