id,ID,name,KEGG,CID,mean_diabetic..,mean_non.diabetic..,sd_diabetic..,sd_non.diabetic..,diabetic..__mean_and_sd,non.diabetic..__mean_and_sd,FC_non.diabetic.._diabetic..,class_p.values,class_FDR.p.values,post.hoc_non.diabetic.._diabetic..,kruskal_selected,PC1,PC2,rf_importance,rfe_selected,FC_non.diabetic.._diabetic.._mag,FC_non.diabetic.._diabetic.._dir,FC_non.diabetic.._diabetic.._sig,class_FDR.p.values_sig,FC_non.diabetic.._diabetic.._dir_class_FDR.p.values_sig
177,var177,2-ketoisocaproic acid,C00233,70,2579.217391304348,1444.8490566037735,2044.0513904881457,1351.875042533182,2580 +/- 2000,1440 +/- 1400,0.56,0.013069724636958761,0.027607957660092663,0.013069724636993185,TRUE,0.07102834505915807,0.026591143451111868,0.06721172376294327,FALSE,0.8365012677171204,-1,FALSE,TRUE,-1_TRUE
178,var178,2-hydroxyvaleric acid,,98009,2463,1069.377358490566,1575.91185724906,637.5135059328032,2460 +/- 1600,1070 +/- 640,0.43,3.585724614460986e-5,2.3245387155816047e-4,3.5857246144743726e-5,TRUE,0.12287970919377272,-0.08338199959530021,0.1341624252472806,FALSE,1.2175914350726267,-1,FALSE,TRUE,-1_TRUE
179,var179,2-hydroxyglutaric acid,C02630,43,1462.2608695652175,1254.1509433962265,740.5962105193174,653.3142545815739,1460 +/- 740,1250 +/- 650,0.86,0.2852909726899457,0.3673652185004038,0.28529426543116465,FALSE,0.08844203707239152,0.10468689986480975,NA,FALSE,0.21759143507262677,-1,FALSE,FALSE,-1_FALSE
18,var18,thymine,C00178,1135,314.30434782608694,518.8679245283018,186.45044059593684,265.1532240434002,314 +/- 190,519 +/- 270,1.65,2.9653796596160555e-4,0.0012657233894277672,2.966513164410767e-4,TRUE,-0.053143919334138895,0.022205937007370124,0.009616666666666667,FALSE,0.722466024471091,1,FALSE,TRUE,1_TRUE
180,var180,2-hydroxybutanoic acid,C05984,94318,12337.260869565218,7231.396226415094,6174.537798067386,5427.858666672347,12300 +/- 6200,7230 +/- 5400,0.59,3.4539652691876777e-4,0.001381586107675071,3.453965269186732e-4,TRUE,0.13085301477177622,0.07605426080554363,0.017827906976744183,FALSE,0.7612131404128835,-1,FALSE,TRUE,-1_TRUE
181,var181,2-hydroxy-2-methylbutanoic acid,,95433,1122.1304347826087,541.4905660377359,852.9933019212575,387.89375144398605,1120 +/- 850,541 +/- 390,0.48,2.5995028064341866e-4,0.0011365268083944815,2.6007670111249936e-4,TRUE,0.08345320726460799,-0.06921379088998496,0.0037777777777777788,FALSE,1.0588936890535685,-1,FALSE,TRUE,-1_TRUE
182,var182,2-deoxytetronic acid,,150929,997.0869565217391,775.2075471698113,355.2871966379617,310.08245544163583,997 +/- 360,775 +/- 310,0.78,0.0034055123523878306,0.00914623317498446,0.0034061702735532773,TRUE,0.09127425707994248,-0.06974948105639571,0.06957985355642533,FALSE,0.3584539709124763,-1,FALSE,TRUE,-1_TRUE
183,var183,2-aminoadipic acid,C00956,469,833.1304347826087,1358.3962264150944,652.5136225918844,614.5082568019684,833 +/- 650,1360 +/- 610,1.63,1.947749370120384e-4,8.933849160691168e-4,1.948339444617364e-4,TRUE,-0.02890996290497944,0.16351564035553257,0.6018272060332863,TRUE,0.7048719644563528,1,FALSE,TRUE,1_TRUE
184,var184,"2,3-dihydroxybutanoic acid",,13120900,444.6521739130435,350.3207547169811,219.0767007020916,114.25877740814516,445 +/- 220,350 +/- 110,0.79,0.08464063666490415,0.136003758059846,0.08465339619739742,FALSE,0.06275386748382095,-0.017884343081889343,NA,FALSE,0.3400754415976217,-1,FALSE,FALSE,-1_FALSE
185,var185,1-monostearin,D01947,24699,166.7391304347826,194.30188679245282,77.51786737808162,86.99217137758396,167 +/- 78,194 +/- 87,1.17,0.17302263867770248,0.23917835346623578,0.17304613649399103,FALSE,-0.02754489286713787,0.037417180926083614,NA,FALSE,0.22650852980867975,1,FALSE,FALSE,1_FALSE
